work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_size
2023,SE,FT,ETL Developer,111400,0,M
2023,SE,FT,Data Analyst,135000,100,M
2023,SE,FT,Data Analyst,110000,100,M
2023,SE,FT,Machine Learning Engineer,214500,0,M
2023,SE,FT,Machine Learning Engineer,132600,0,M
2023,SE,FT,Data Analyst,120000,0,M
2023,SE,FT,Data Analyst,100000,0,M
2023,SE,FT,Machine Learning Engineer,242921,0,M
2023,SE,FT,Machine Learning Engineer,170045,0,M
2023,SE,FT,Data Engineer,225000,100,M
2023,SE,FT,Data Engineer,175000,100,M
2023,MI,FT,Data Scientist,180000,0,M
2023,MI,FT,Data Scientist,162000,0,M
2023,SE,FT,Data Architect,175000,0,M
2023,SE,FT,Data Architect,90000,0,M
2023,EN,FT,Data Scientist,156450,0,M
2023,EN,FT,Data Scientist,119200,0,M
2023,SE,FT,Data Scientist,245000,0,M
2023,SE,FT,Data Scientist,185000,0,M
2023,SE,FT,Machine Learning Engineer,214500,0,M
2023,SE,FT,Machine Learning Engineer,132600,0,M
2023,MI,FT,Data Scientist,154800,0,M
2023,MI,FT,Data Scientist,76300,0,M
2023,SE,FT,Data Scientist,178600,0,M
2023,SE,FT,Data Scientist,88600,0,M
2023,SE,FT,Research Scientist,248100,0,M
2023,SE,FT,Research Scientist,145900,0,M
2023,SE,FT,Data Analyst,93919,100,M
2023,SE,FT,Data Analyst,51962,100,M
2023,SE,FT,Data Scientist,207345,100,M
2023,SE,FT,Data Scientist,180300,100,M
2023,SE,FT,Machine Learning Engineer,200000,0,M
2023,SE,FT,Machine Learning Engineer,140000,0,M
2023,SE,FT,Analytics Engineer,205000,0,M
2023,SE,FT,Analytics Engineer,167500,0,M
2023,SE,FT,Data Analyst,140000,100,M
2023,SE,FT,Data Analyst,110000,100,M
2023,SE,FT,Data Scientist,228045,100,M
2023,SE,FT,Data Scientist,198300,100,M
2023,SE,FT,Data Engineer,150000,100,M
2023,SE,FT,Data Engineer,140000,100,M
2023,SE,FT,Data Analyst,100000,0,M
2023,SE,FT,Data Analyst,75000,0,M
2023,MI,FT,BI Developer,100000,0,M
2023,MI,FT,BI Developer,75000,0,M
2023,SE,FT,Data Modeler,140000,0,M
2023,SE,FT,Data Modeler,100000,0,M
2023,MI,FT,Data Analytics Manager,125000,0,M
2023,MI,FT,Data Analytics Manager,120000,0,M
2023,SE,FT,Business Intelligence Analyst,127000,0,M
2023,SE,FT,Business Intelligence Analyst,99000,0,M
2023,MI,FT,Data Engineer,130000,100,M
2023,MI,FT,Data Engineer,120000,100,M
2023,SE,FT,Business Intelligence Analyst,194500,100,M
2023,SE,FT,Business Intelligence Analyst,132320,100,M
2023,SE,FT,Data Engineer,135000,0,M
2023,SE,FT,Data Engineer,90000,0,M
2023,SE,FT,Data Analyst,223602,0,M
2023,SE,FT,Data Analyst,143520,0,M
2023,SE,FT,Machine Learning Scientist,180000,0,M
2023,SE,FT,Machine Learning Scientist,140000,0,M
2023,MI,FT,Data Scientist,180000,0,M
2023,MI,FT,Data Scientist,162000,0,M
2023,SE,FT,Data Analyst,120350,100,M
2023,SE,FT,Data Analyst,74400,100,M
2023,SE,FT,Data Scientist,185000,0,M
2023,SE,FT,Data Scientist,123000,0,M
2023,MI,FT,Data Engineer,140000,100,M
2023,MI,FT,Data Engineer,90000,100,M
2023,SE,FT,Machine Learning Engineer,214500,0,M
2023,SE,FT,Machine Learning Engineer,132600,0,M
2023,SE,FT,Data Engineer,154000,0,M
2023,SE,FT,Data Engineer,103000,0,M
2023,SE,FT,Data Analyst,90000,100,M
2023,SE,FT,Data Analyst,80000,100,M
2023,EX,FT,Data Manager,140000,0,M
2023,EX,FT,Data Manager,100000,0,M
2023,SE,FT,Data Engineer,170000,0,M
2023,SE,FT,Data Engineer,100000,0,M
2023,MI,FT,Data Analyst,115000,0,M
2023,MI,FT,Data Analyst,105000,0,M
2023,SE,FT,Data Scientist,296100,0,M
2023,SE,FT,Data Scientist,144500,0,M
2023,EN,FT,Data Engineer,220000,0,M
2023,EN,FT,Data Engineer,187000,0,M
2023,SE,FT,Data Analyst,118600,0,M
2023,SE,FT,Data Analyst,96800,0,M
2023,EN,FT,Data Scientist,100000,100,M
2023,MI,FT,Data Analyst,142000,0,M
2023,MI,FT,Data Analyst,128000,0,M
2023,SE,FT,ETL Developer,99500,0,M
2023,SE,FT,ETL Developer,53300,0,M
2023,SE,FT,Data Engineer,210000,0,M
2023,SE,FT,Data Engineer,165000,0,M
2023,SE,FT,Research Scientist,172000,0,M
2023,SE,FT,Research Scientist,125000,0,M
2023,SE,FT,Data Engineer,250000,0,M
2023,SE,FT,Data Engineer,190000,0,M
2023,SE,FT,Research Engineer,245000,0,M
2023,SE,FT,Research Engineer,245000,0,M
2023,SE,FT,Data Architect,234900,0,M
2023,SE,FT,Data Architect,68400,0,M
2023,SE,FT,Data Scientist,155000,0,M
2023,SE,FT,Data Scientist,139000,0,M
2023,SE,FT,Data Analyst,142000,0,M
2023,SE,FT,Data Analyst,128000,0,M
2023,SE,FT,Research Engineer,172000,0,M
2023,SE,FT,Research Engineer,125000,0,M
2023,SE,FT,Data Engineer,128000,0,M
2023,SE,FT,Data Engineer,81500,0,M
2023,MI,FT,Data Engineer,167500,0,M
2023,MI,FT,Data Engineer,106500,0,M
2023,MI,FT,Data Engineer,150000,100,M
2023,MI,FT,Data Engineer,100000,100,M
2023,SE,FT,Data Analyst,139600,0,M
2023,SE,FT,Data Analyst,85700,0,M
2023,SE,FT,Data Engineer,143000,0,M
2023,SE,FT,Data Engineer,95000,0,M
2023,SE,FT,Data Manager,145000,0,M
2023,SE,FT,Data Manager,130000,0,M
2023,SE,FT,Machine Learning Engineer,330000,100,M
2023,SE,FT,Machine Learning Engineer,188000,100,M
2023,SE,FT,Data Analyst,145000,100,M
2023,SE,FT,Data Analyst,106000,100,M
2023,SE,FT,Machine Learning Engineer,297300,100,M
2023,SE,FT,Machine Learning Engineer,198200,100,M
2023,SE,FT,Data Engineer,269100,0,M
